GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AE7001
GIS Join Match Code,Data File Year,State Name,State Code,County Name,County Code,Area name,Average value of farmland and buildings per acre
"G0100010","1850","Alabama","010","Autauga","0010","Autauga",5
"G0100030","1850","Alabama","010","Baldwin","0030","Baldwin",3
"G0100050","1850","Alabama","010","Barbour","0050","Barbour",5
"G0100070","1850","Alabama","010","Bibb","0070","Bibb",3
"G0100090","1850","Alabama","010","Blount","0090","Blount",3
"G0100130","1850","Alabama","010","Butler","0130","Butler",3
"G0100170","1850","Alabama","010","Chambers","0170","Chambers",6
"G0100190","1850","Alabama","010","Cherokee","0190","Cherokee",7
"G0100230","1850","Alabama","010","Choctaw","0230","Choctaw",9
"G0100250","1850","Alabama","010","Clarke","0250","Clarke",3
"G0100310","1850","Alabama","010","Coffee","0310","Coffee",4
"G0100350","1850","Alabama","010","Conecuh","0350","Conecuh",3
"G0100370","1850","Alabama","010","Coosa","0370","Coosa",4
"G0100390","1850","Alabama","010","Covington","0390","Covington",3
"G0100450","1850","Alabama","010","Dale","0450","Dale",3
"G0100470","1850","Alabama","010","Dallas","0470","Dallas",7
"G0100490","1850","Alabama","010","DeKalb","0490","Dekalb",6
"G0100570","1850","Alabama","010","Fayette","0570","Fayette",3
"G0100590","1850","Alabama","010","Franklin","0590","Franklin",5
"G0100630","1850","Alabama","010","Greene","0630","Greene",7
"G0100670","1850","Alabama","010","Henry","0670","Henry",4
"G0100710","1850","Alabama","010","Jackson","0710","Jackson",4
"G0100730","1850","Alabama","010","Jefferson","0730","Jefferson",4
"G0100770","1850","Alabama","010","Lauderdale","0770","Lauderdale",7
"G0100790","1850","Alabama","010","Lawrence","0790","Lawrence",6
"G0100830","1850","Alabama","010","Limestone","0830","Limestone",9
"G0100850","1850","Alabama","010","Lowndes","0850","Lowndes",4
"G0100870","1850","Alabama","010","Macon","0870","Macon",5
"G0100890","1850","Alabama","010","Madison","0890","Madison",10
"G0100910","1850","Alabama","010","Marengo","0910","Marengo",9
"G0100930","1850","Alabama","010","Marion","0930","Marion",2
"G0100950","1850","Alabama","010","Marshall","0950","Marshall",7
"G0100970","1850","Alabama","010","Mobile","0970","Mobile",11
"G0100990","1850","Alabama","010","Monroe","0990","Monroe",3
"G0101010","1850","Alabama","010","Montgomery","1010","Montgomery",6
"G0101030","1850","Alabama","010","Morgan","1030","Morgan",5
"G0101050","1850","Alabama","010","Perry","1050","Perry",7
"G0101070","1850","Alabama","010","Pickens","1070","Pickens",5
"G0101090","1850","Alabama","010","Pike","1090","Pike",4
"G0101110","1850","Alabama","010","Randolph","1110","Randolph",4
"G0101130","1850","Alabama","010","Russell","1130","Russell",5
"G0101150","1850","Alabama","010","St Clair","1150","St Clair",4
"G0101170","1850","Alabama","010","Shelby","1170","Shelby",4
"G0101190","1850","Alabama","010","Sumter","1190","Sumter",5
"G0101210","1850","Alabama","010","Talladega","1210","Talladega",6
"G0101230","1850","Alabama","010","Tallapoosa","1230","Tallapoosa",4
"G0101250","1850","Alabama","010","Tuscaloosa","1250","Tuscaloosa",3
"G0101270","1850","Alabama","010","Walker","1270","Walker",4
"G0101290","1850","Alabama","010","Washington","1290","Washington",3
"G0101310","1850","Alabama","010","Wilcox","1310","Wilcox",5
"G0500010","1850","Arkansas","050","Arkansas","0010","Arkansas",11
"G0500030","1850","Arkansas","050","Ashley","0030","Ashley",7
"G0500070","1850","Arkansas","050","Benton","0070","Benton",6
"G0500110","1850","Arkansas","050","Bradley","0110","Bradley",6
"G0500150","1850","Arkansas","050","Carroll","0150","Carroll",7
"G0500170","1850","Arkansas","050","Chicot","0170","Chicot",10
"G0500190","1850","Arkansas","050","Clark","0190","Clark",6
"G0500290","1850","Arkansas","050","Conway","0290","Conway",3
"G0500330","1850","Arkansas","050","Crawford","0330","Crawford",7
"G0500350","1850","Arkansas","050","Crittenden","0350","Crittenden",6
"G0500390","1850","Arkansas","050","Dallas","0390","Dallas",6
"G0500410","1850","Arkansas","050","Desha","0410","Desha",9
"G0500430","1850","Arkansas","050","Drew","0430","Drew",4
"G0500470","1850","Arkansas","050","Franklin","0470","Franklin",5
"G0500490","1850","Arkansas","050","Fulton","0490","Fulton",6
"G0500550","1850","Arkansas","050","Greene","0550","Greene",6
"G0500570","1850","Arkansas","050","Hempstead","0570","Hempstead",7
"G0500590","1850","Arkansas","050","Hot Spring","0590","Hot Spring",7
"G0500630","1850","Arkansas","050","Independence","0630","Independence",6
"G0500650","1850","Arkansas","050","Izard","0650","Izard",7
"G0500670","1850","Arkansas","050","Jackson","0670","Jackson",7
"G0500690","1850","Arkansas","050","Jefferson","0690","Jefferson",9
"G0500710","1850","Arkansas","050","Johnson","0710","Johnson",6
"G0500730","1850","Arkansas","050","Lafayette","0730","Lafayette",5
"G0500750","1850","Arkansas","050","Lawrence","0750","Lawrence",5
"G0500870","1850","Arkansas","050","Madison","0870","Madison",6
"G0500890","1850","Arkansas","050","Marion","0890","Marion",5
"G0500930","1850","Arkansas","050","Mississippi","0930","Mississippi",6
"G0500950","1850","Arkansas","050","Monroe","0950","Monroe",2
"G0500970","1850","Arkansas","050","Montgomery","0970","Montgomery",10
"G0501010","1850","Arkansas","050","Newton","1010","Newton",5
"G0501030","1850","Arkansas","050","Ouachita","1030","Ouachita",2
"G0501050","1850","Arkansas","050","Perry","1050","Perry",5
"G0501070","1850","Arkansas","050","Phillips","1070","Phillips",9
"G0501090","1850","Arkansas","050","Pike","1090","Pike",6
"G0501110","1850","Arkansas","050","Poinsett","1110","Poinsett",2
"G0501130","1850","Arkansas","050","Polk","1130","Polk",9
"G0501150","1850","Arkansas","050","Pope","1150","Pope",6
"G0501170","1850","Arkansas","050","Prairie","1170","Prairie",3
"G0501190","1850","Arkansas","050","Pulaski","1190","Pulaski",7
"G0501210","1850","Arkansas","050","Randolph","1210","Randolph",5
"G0501230","1850","Arkansas","050","St Francis","1230","St Francis",4
"G0501250","1850","Arkansas","050","Saline","1250","Saline",5
"G0501270","1850","Arkansas","050","Scott","1270","Scott",6
"G0501290","1850","Arkansas","050","Searcy","1290","Searcy",9
"G0501330","1850","Arkansas","050","Sevier","1330","Sevier",4
"G0501390","1850","Arkansas","050","Union","1390","Union",4
"G0501410","1850","Arkansas","050","Van Buren","1410","Van Buren",6
"G0501430","1850","Arkansas","050","Washington","1430","Washington",5
"G0501450","1850","Arkansas","050","White","1450","White",5
"G0501490","1850","Arkansas","050","Yell","1490","Yell",7
"G0600090","1850","California","060","Calaveras","0090","Calaveras",1
"G0601010","1850","California","060","Sutter","1010","Sutter",8
"G0601130","1850","California","060","Yolo","1130","Yolo",1
"G0900010","1850","Connecticut","090","Fairfield","0010","Fairfield",49
"G0900030","1850","Connecticut","090","Hartford","0030","Hartford",37
"G0900050","1850","Connecticut","090","Litchfield","0050","Litchfield",27
"G0900070","1850","Connecticut","090","Middlesex","0070","Middlesex",28
"G0900090","1850","Connecticut","090","New Haven","0090","New Haven",36
"G0900110","1850","Connecticut","090","New London","0110","New London",26
"G0900130","1850","Connecticut","090","Tolland","0130","Tolland",17
"G0900150","1850","Connecticut","090","Windham","0150","Windham",23
"G1000010","1850","Delaware","100","Kent","0010","Kent",14
"G1000030","1850","Delaware","100","New Castle","0030","New Castle",52
"G1000050","1850","Delaware","100","Sussex","0050","Sussex",8
"G1200010","1850","Florida","120","Alachua","0010","Alachua",3
"G1200130","1850","Florida","120","Calhoun","0130","Calhoun",12
"G1200230","1850","Florida","120","Columbia","0230","Columbia",5
"G1200250","1850","Florida","120","Dade","0250","Dade",22
"G1200310","1850","Florida","120","Duval","0310","Duval",3
"G1200330","1850","Florida","120","Escambia","0330","Escambia",4
"G1200390","1850","Florida","120","Gadsden","0390","Gadsden",6
"G1200470","1850","Florida","120","Hamilton","0470","Hamilton",5
"G1200570","1850","Florida","120","Hillsborough","0570","Hillsborough",9
"G1200590","1850","Florida","120","Holmes","0590","Holmes",4
"G1200630","1850","Florida","120","Jackson","0630","Jackson",5
"G1200650","1850","Florida","120","Jefferson","0650","Jefferson",3
"G1200730","1850","Florida","120","Leon","0730","Leon",10
"G1200750","1850","Florida","120","Levy","0750","Levy",5
"G1200790","1850","Florida","120","Madison","0790","Madison",7
"G1200830","1850","Florida","120","Marion","0830","Marion",6
"G1200870","1850","Florida","120","Monroe","0870","Monroe",23
"G1200890","1850","Florida","120","Nassau","0890","Nassau",2
"G1200950","1850","Florida","120","Orange","0950","Orange",12
"G1201070","1850","Florida","120","Putnam","1070","Putnam",9
"G1201090","1850","Florida","120","St Johns","1090","St Johns",8
"G1201130","1850","Florida","120","Santa Rosa","1130","Santa Rosa",1
"G1201290","1850","Florida","120","Wakulla","1290","Wakulla",5
"G1201310","1850","Florida","120","Walton","1310","Walton",4
"G1201330","1850","Florida","120","Washington","1330","Washington",5
"G1300070","1850","Georgia","130","Baker","0070","Baker",6
"G1300090","1850","Georgia","130","Baldwin","0090","Baldwin",3
"G1300210","1850","Georgia","130","Bibb","0210","Bibb",7
"G1300290","1850","Georgia","130","Bryan","0290","Bryan",2
"G1300310","1850","Georgia","130","Bulloch","0310","Bulloch",1
"G1300330","1850","Georgia","130","Burke","0330","Burke",4
"G1300350","1850","Georgia","130","Butts","0350","Butts",6
"G1300390","1850","Georgia","130","Camden","0390","Camden",4
"G1300395","1850","Georgia","130","Campbell","0395","Campbell",6
"G1300450","1850","Georgia","130","Carroll","0450","Carroll",3
"G1300510","1850","Georgia","130","Chatham","0510","Chatham",14
"G1300550","1850","Georgia","130","Chattooga","0550","Chattooga",7
"G1300570","1850","Georgia","130","Cherokee","0570","Cherokee",5
"G1300590","1850","Georgia","130","Clarke","0590","Clarke",5
"G1300650","1850","Georgia","130","Clinch","0650","Clinch",1
"G1300670","1850","Georgia","130","Cobb","0670","Cobb",4
"G1300730","1850","Georgia","130","Columbia","0730","Columbia",5
"G1300770","1850","Georgia","130","Coweta","0770","Coweta",7
"G1300790","1850","Georgia","130","Crawford","0790","Crawford",5
"G1300830","1850","Georgia","130","Dade","0830","Dade",5
"G1300870","1850","Georgia","130","Decatur","0870","Decatur",3
"G1300890","1850","Georgia","130","DeKalb","0890","De Kalb",5
"G1300930","1850","Georgia","130","Dooly","0930","Dooly",1
"G1300990","1850","Georgia","130","Early","0990","Early",4
"G1301030","1850","Georgia","130","Effingham","1030","Effingham",1
"G1301050","1850","Georgia","130","Elbert","1050","Elbert",5
"G1301070","1850","Georgia","130","Emanuel","1070","Emanuel",1
"G1301130","1850","Georgia","130","Fayette","1130","Fayette",5
"G1301150","1850","Georgia","130","Floyd","1150","Floyd",8
"G1301170","1850","Georgia","130","Forsyth","1170","Forsyth",5
"G1301190","1850","Georgia","130","Franklin","1190","Franklin",3
"G1301230","1850","Georgia","130","Gilmer","1230","Gilmer",3
"G1301270","1850","Georgia","130","Glynn","1270","Glynn",7
"G1301290","1850","Georgia","130","Gordon","1290","Gordon",5
"G1301330","1850","Georgia","130","Greene","1330","Greene",7
"G1301350","1850","Georgia","130","Gwinnett","1350","Gwinnett",3
"G1301370","1850","Georgia","130","Habersham","1370","Habersham",1
"G1301390","1850","Georgia","130","Hall","1390","Hall",2
"G1301410","1850","Georgia","130","Hancock","1410","Hancock",5
"G1301450","1850","Georgia","130","Harris","1450","Harris",6
"G1301490","1850","Georgia","130","Heard","1490","Heard",5
"G1301510","1850","Georgia","130","Henry","1510","Henry",5
"G1301530","1850","Georgia","130","Houston","1530","Houston",8
"G1301570","1850","Georgia","130","Jackson","1570","Jackson",4
"G1301590","1850","Georgia","130","Jasper","1590","Jasper",6
"G1301630","1850","Georgia","130","Jefferson","1630","Jefferson",5
"G1301690","1850","Georgia","130","Jones","1690","Jones",5
"G1301750","1850","Georgia","130","Laurens","1750","Laurens",1
"G1301770","1850","Georgia","130","Lee","1770","Lee",6
"G1301790","1850","Georgia","130","Liberty","1790","Liberty",2
"G1301810","1850","Georgia","130","Lincoln","1810","Lincoln",4
"G1301850","1850","Georgia","130","Lowndes","1850","Lowndes",2
"G1301870","1850","Georgia","130","Lumpkin","1870","Lumpkin",5
"G1301910","1850","Georgia","130","McIntosh","1910","Mcintosh",7
"G1301930","1850","Georgia","130","Macon","1930","Macon",6
"G1301950","1850","Georgia","130","Madison","1950","Madison",4
"G1301970","1850","Georgia","130","Marion","1970","Marion",6
"G1301990","1850","Georgia","130","Meriwether","1990","Meriwether",7
"G1302070","1850","Georgia","130","Monroe","2070","Monroe",7
"G1302090","1850","Georgia","130","Montgomery","2090","Montgomery",1
"G1302110","1850","Georgia","130","Morgan","2110","Morgan",6
"G1302130","1850","Georgia","130","Murray","2130","Murray",8
"G1302150","1850","Georgia","130","Muscogee","2150","Muscogee",8
"G1302170","1850","Georgia","130","Newton","2170","Newton",6
"G1302210","1850","Georgia","130","Oglethorpe","2210","Oglethorpe",6
"G1302230","1850","Georgia","130","Paulding","2230","Paulding",8
"G1302310","1850","Georgia","130","Pike","2310","Pike",7
"G1302350","1850","Georgia","130","Pulaski","2350","Pulaski",3
"G1302370","1850","Georgia","130","Putnam","2370","Putnam",5
"G1302410","1850","Georgia","130","Rabun","2410","Rabun",1
"G1302430","1850","Georgia","130","Randolph","2430","Randolph",4
"G1302450","1850","Georgia","130","Richmond","2450","Richmond",8
"G1302510","1850","Georgia","130","Screven","2510","Screven",1
"G1302590","1850","Georgia","130","Stewart","2590","Stewart",6
"G1302610","1850","Georgia","130","Sumter","2610","Sumter",6
"G1302630","1850","Georgia","130","Talbot","2630","Talbot",8
"G1302650","1850","Georgia","130","Taliaferro","2650","Taliaferro",5
"G1302670","1850","Georgia","130","Tattnall","2670","Tattnall",1
"G1302710","1850","Georgia","130","Telfair","2710","Telfair",1
"G1302750","1850","Georgia","130","Thomas","2750","Thomas",2
"G1302850","1850","Georgia","130","Troup","2850","Troup",8
"G1302890","1850","Georgia","130","Twiggs","2890","Twiggs",2
"G1302910","1850","Georgia","130","Union","2910","Union",3
"G1302930","1850","Georgia","130","Upson","2930","Upson",6
"G1302950","1850","Georgia","130","Walker","2950","Walker",8
"G1302970","1850","Georgia","130","Walton","2970","Walton",4
"G1302990","1850","Georgia","130","Ware","2990","Ware",1
"G1303010","1850","Georgia","130","Warren","3010","Warren",5
"G1303030","1850","Georgia","130","Washington","3030","Washington",3
"G1303050","1850","Georgia","130","Wayne","3050","Wayne",1
"G1303170","1850","Georgia","130","Wilkes","3170","Wilkes",5
"G1303190","1850","Georgia","130","Wilkinson","3190","Wilkinson",3
"G1700010","1850","Illinois","170","Adams","0010","Adams",10
"G1700030","1850","Illinois","170","Alexander","0030","Alexander",4
"G1700050","1850","Illinois","170","Bond","0050","Bond",4
"G1700070","1850","Illinois","170","Boone","0070","Boone",8
"G1700090","1850","Illinois","170","Brown","0090","Brown",8
"G1700110","1850","Illinois","170","Bureau","0110","Bureau",9
"G1700130","1850","Illinois","170","Calhoun","0130","Calhoun",5
"G1700150","1850","Illinois","170","Carroll","0150","Carroll",7
"G1700170","1850","Illinois","170","Cass","0170","Cass",12
"G1700190","1850","Illinois","170","Champaign","0190","Champaign",8
"G1700210","1850","Illinois","170","Christian","0210","Christian",7
"G1700230","1850","Illinois","170","Clark","0230","Clark",6
"G1700250","1850","Illinois","170","Clay","0250","Clay",5
"G1700270","1850","Illinois","170","Clinton","0270","Clinton",5
"G1700290","1850","Illinois","170","Coles","0290","Coles",5
"G1700310","1850","Illinois","170","Cook","0310","Cook",10
"G1700330","1850","Illinois","170","Crawford","0330","Crawford",5
"G1700350","1850","Illinois","170","Cumberland","0350","Cumberland",4
"G1700370","1850","Illinois","170","DeKalb","0370","De Kalb",6
"G1700390","1850","Illinois","170","De Witt","0390","De Witt",9
"G1700430","1850","Illinois","170","Dupage","0430","Du Page",12
"G1700450","1850","Illinois","170","Edgar","0450","Edgar",8
"G1700470","1850","Illinois","170","Edwards","0470","Edwards",5
"G1700490","1850","Illinois","170","Effingham","0490","Effingham",4
"G1700510","1850","Illinois","170","Fayette","0510","Fayette",5
"G1700550","1850","Illinois","170","Franklin","0550","Franklin",3
"G1700570","1850","Illinois","170","Fulton","0570","Fulton",10
"G1700590","1850","Illinois","170","Gallatin","0590","Gallatin",5
"G1700610","1850","Illinois","170","Greene","0610","Greene",9
"G1700630","1850","Illinois","170","Grundy","0630","Grundy",7
"G1700650","1850","Illinois","170","Hamilton","0650","Hamilton",6
"G1700670","1850","Illinois","170","Hancock","0670","Hancock",8
"G1700690","1850","Illinois","170","Hardin","0690","Hardin",4
"G1700710","1850","Illinois","170","Henderson","0710","Henderson",9
"G1700730","1850","Illinois","170","Henry","0730","Henry",6
"G1700750","1850","Illinois","170","Iroquois","0750","Iroquois",8
"G1700770","1850","Illinois","170","Jackson","0770","Jackson",5
"G1700790","1850","Illinois","170","Jasper","0790","Jasper",4
"G1700810","1850","Illinois","170","Jefferson","0810","Jefferson",5
"G1700830","1850","Illinois","170","Jersey","0830","Jersey",13
"G1700850","1850","Illinois","170","Jo Daviess","0850","Jo Daviess",7
"G1700870","1850","Illinois","170","Johnson","0870","Johnson",4
"G1700890","1850","Illinois","170","Kane","0890","Kane",10
"G1700930","1850","Illinois","170","Kendall","0930","Kendall",9
"G1700950","1850","Illinois","170","Knox","0950","Knox",10
"G1700970","1850","Illinois","170","Lake","0970","Lake",9
"G1700990","1850","Illinois","170","La Salle","0990","La Salle",9
"G1701010","1850","Illinois","170","Lawrence","1010","Lawrence",7
"G1701030","1850","Illinois","170","Lee","1030","Lee",8
"G1701050","1850","Illinois","170","Livingston","1050","Livingston",5
"G1701070","1850","Illinois","170","Logan","1070","Logan",8
"G1701090","1850","Illinois","170","McDonough","1090","Mcdonough",8
"G1701110","1850","Illinois","170","McHenry","1110","Mchenry",7
"G1701130","1850","Illinois","170","McLean","1130","Mclean",9
"G1701150","1850","Illinois","170","Macon","1150","Macon",8
"G1701170","1850","Illinois","170","Macoupin","1170","Macoupin",8
"G1701190","1850","Illinois","170","Madison","1190","Madison",9
"G1701210","1850","Illinois","170","Marion","1210","Marion",4
"G1701230","1850","Illinois","170","Marshall","1230","Marshall",9
"G1701250","1850","Illinois","170","Mason","1250","Mason",8
"G1701270","1850","Illinois","170","Massac","1270","Massac",4
"G1701290","1850","Illinois","170","Menard","1290","Menard",10
"G1701310","1850","Illinois","170","Mercer","1310","Mercer",12
"G1701330","1850","Illinois","170","Monroe","1330","Monroe",6
"G1701350","1850","Illinois","170","Montgomery","1350","Montgomery",5
"G1701370","1850","Illinois","170","Morgan","1370","Morgan",12
"G1701390","1850","Illinois","170","Moultrie","1390","Moultrie",6
"G1701410","1850","Illinois","170","Ogle","1410","Ogle",8
"G1701430","1850","Illinois","170","Peoria","1430","Peoria",11
"G1701450","1850","Illinois","170","Perry","1450","Perry",4
"G1701470","1850","Illinois","170","Piatt","1470","Piatt",6
"G1701490","1850","Illinois","170","Pike","1490","Pike",7
"G1701510","1850","Illinois","170","Pope","1510","Pope",4
"G1701530","1850","Illinois","170","Pulaski","1530","Pulaski",4
"G1701550","1850","Illinois","170","Putnam","1550","Putnam",12
"G1701570","1850","Illinois","170","Randolph","1570","Randolph",6
"G1701590","1850","Illinois","170","Richland","1590","Richland",5
"G1701610","1850","Illinois","170","Rock Island","1610","Rock Island",7
"G1701630","1850","Illinois","170","St Clair","1630","St Clair",10
"G1701650","1850","Illinois","170","Saline","1650","Saline",3
"G1701670","1850","Illinois","170","Sangamon","1670","Sangamon",10
"G1701690","1850","Illinois","170","Schuyler","1690","Schuyler",8
"G1701710","1850","Illinois","170","Scott","1710","Scott",11
"G1701730","1850","Illinois","170","Shelby","1730","Shelby",6
"G1701750","1850","Illinois","170","Stark","1750","Stark",9
"G1701770","1850","Illinois","170","Stephenson","1770","Stephenson",10
"G1701790","1850","Illinois","170","Tazewell","1790","Tazewell",10
"G1701810","1850","Illinois","170","Union","1810","Union",4
"G1701830","1850","Illinois","170","Vermilion","1830","Vermilion",14
"G1701850","1850","Illinois","170","Wabash","1850","Wabash",6
"G1701870","1850","Illinois","170","Warren","1870","Warren",9
