YEAR,STATE,STATECODE,COUNTY,COUNTYCODE,AREANAME,AVERAGEVALUE
1850,California,60,Calaveras,90,Calaveras,1
1850,California,60,Sutter,1010,Sutter,8
1850,California,60,Yolo,1130,Yolo,1
1850,Texas,480,Anderson,10,Anderson,2
1850,Texas,480,Angelina,50,Angelina,4
1850,Texas,480,Austin,150,Austin,3
1850,Texas,480,Bastrop,210,Bastrop,3
1850,Texas,480,Bexar,290,Bexar,2
1850,Texas,480,Bowie,370,Bowie,1
1850,Texas,480,Brazoria,390,Brazoria,1
1850,Texas,480,Caldwell,550,Caldwell,3
1850,Texas,480,Calhoun,570,Calhoun,2
1850,Texas,480,Cass (old),655,Cass,2
1850,Texas,480,Cherokee,730,Cherokee,3
1850,Texas,480,Collin,850,Collin,1
1850,Texas,480,Colorado,890,Colorado,1
1850,Texas,480,Comal,910,Comal,7
1850,Texas,480,Dallas,1130,Dallas,2
1850,Texas,480,DeWitt,1230,De Witt,2
1850,Texas,480,Ellis,1390,Ellis,1
1850,Texas,480,Fannin,1470,Fannin,2
1850,Texas,480,Fayette,1490,Fayette,3
1850,Texas,480,Fort Bend,1570,Fort Bend,3
1850,Texas,480,Galveston,1670,Galveston,2
1850,Texas,480,Gillespie,1710,Gillespie,2
1850,Texas,480,Goliad,1750,Goliad,2
1850,Texas,480,Gonzales,1770,Gonzales,1
1850,Texas,480,Grayson,1810,Grayson,1
1850,Texas,480,Grimes,1850,Grimes,2
1850,Texas,480,Guadalupe,1870,Guadalupe,2
1850,Texas,480,Harris,2010,Harris,2
1850,Texas,480,Harrison,2030,Harrison,4
1850,Texas,480,Hays,2090,Hays,3
1850,Texas,480,Henderson,2130,Henderson,15
1850,Texas,480,Hopkins,2230,Hopkins,1
1850,Texas,480,Houston,2250,Houston,2
1850,Texas,480,Hunt,2310,Hunt,1
1850,Texas,480,Jackson,2390,Jackson,1
1850,Texas,480,Jasper,2410,Jasper,1
1850,Texas,480,Kaufman,2570,Kaufman,22
1850,Texas,480,Lamar,2770,Lamar,2
1850,Texas,480,Leon,2890,Leon,2
1850,Texas,480,Liberty,2910,Liberty,2
1850,Texas,480,Limestone,2930,Limestone,1
1850,Texas,480,Matagorda,3210,Matagorda,6
1850,Texas,480,Medina,3250,Medina,2
1850,Texas,480,Milam,3310,Milam,2
1850,Texas,480,Montgomery,3390,Montgomery,3
1850,Texas,480,Nacogdoches,3470,Nacogdoches,2
1850,Texas,480,Navarro,3490,Navarro,2
1850,Texas,480,Newton,3510,Newton,1
1850,Texas,480,Nueces,3550,Nueces,1
1850,Texas,480,Panola,3650,Panola,2
1850,Texas,480,Polk,3730,Polk,1
1850,Texas,480,Red River,3870,Red River,1
1850,Texas,480,Refugio,3910,Refugio,1
1850,Texas,480,Robertson,3950,Robertson,1
